data_id,db,task,key,smiles,tag,filename,i_repeat,cfd_traj,cfd_pos,cfd_node,cfd_edge
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(O)COc1ccc(NP(=O)(O)C(O)CC(=O)NCc2ccc(F)cc2)cc1,,0.sdf,0,1.3321338891983032,2.5890005,10.496672,18.69852
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=S(=O)(N=C(O)C=Cc1cccc(-c2ccccc2)c1)c1cnccn1,,1.sdf,0,1.4238464832305908,2.7561364,10.659949,18.60131
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(C=CNC(=O)CCc1ccc(F)cc1)Nc1nnc(-c2cccc(Cl)c2)s1,,2.sdf,0,1.38498854637146,2.637045,11.672029,19.175423
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,Nc1nc2[nH]c(C(O)C(O)COP(=O)(O)OP(=O)(O)O)cnc-2c(=O)n1,,3.sdf,0,1.3509187698364258,2.6071086,10.230195,17.669893
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,CC(NC(=O)c1cn(Cc2ccccc2)nn1)C(=O)NCCc1ccccc1,,4.sdf,0,1.4177534580230713,2.7602754,11.566363,19.114365
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,NC(Cc1ccccc1)C(=O)C[SH](=O)(O)NCC(=O)NCc1ccc2c(O)ccnc2c1,,5.sdf,0,1.4045065641403198,2.768933,11.04897,19.06093
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(CC(O)C(=O)Nc1cccc(Cc2ccc(Cl)cc2)c1)NNC(=O)c1ccccc1,,6.sdf,0,1.4806106090545654,2.7916164,11.234943,19.265139
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,NC1=NC(=O)C2=NC3=[N+](C2=[NH+]1)C(COP(=O)(O)OP(=O)(O)S)C(O)C3O,,7.sdf,0,1.2610259056091309,2.5361788,10.905904,17.870811
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,N=C(N)NCCCCC=C(O)CNC(=O)c1cc(-c2ccc[nH+]c2)n[nH]1,,8.sdf,0,1.394771933555603,2.6432366,10.028486,18.734697
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,CC(=O)Nc1ccc(NCCP(=O)(O)N=C(O)CCCNC(=O)c2ccco2)cc1,,9.sdf,0,1.320369005203247,2.6308835,10.090552,18.987339
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(Nc1ccc(Cc2ccc[nH+]c2)n[nH+]1)c1cccc(OCc2nnn[nH]2)c1,,10.sdf,0,1.421555757522583,2.7552254,10.423849,18.988878
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(CNC(=O)Nc1cccc(-c2nn[nH]n2)c1)NCc1ccccc1,,11.sdf,0,1.4342477321624756,2.7463186,11.085583,18.77163
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,Cc1ccccc1O.Nc1nc(=O)c2nnn(CC(O)COP(=O)(O)O)c2[nH]1,incomp,12-incomp.sdf,0,1.3827149868011477,2.6181033,10.745902,18.288668
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,Nc1nc[nH+]c2[n+]3c(nc-2n1)OC(COP(=O)(O)O[PH](O)(O)O)CC3,,13.sdf,0,1.3028010129928589,2.4289362,10.654602,17.056995
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,CC(C=C(O)C(O)N=Cc1cc2ccccc2[nH]1)NC(O)=CCc1ccc[nH+]c1,,14.sdf,0,1.3566704988479614,2.605669,10.356631,18.666483
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(CCC(O)=NCc1cccc(OCn2nnnn2)c1)NCc1cccc(F)c1,,15.sdf,0,1.396095871925354,2.6089487,10.529658,18.818857
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(C=CC(=O)C(=O)NCc1ccc(I)cc1)Nc1ccc2nonc2c1,,16.sdf,0,1.4380017518997192,2.7366028,11.935564,18.81526
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,Nc1ncnc2c1ncn2C1OC(CP(=O)(O)OC2CCNC2O)CCC1O,,17.sdf,0,1.2802523374557495,2.6157796,10.7526,18.392256
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=C(Nc1cccc(-c2ccccn2)c1)c1ncc(C(O)Nc2ccccc2)o1,,18.sdf,0,1.463611125946045,2.7253993,10.588196,18.877064
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,NC1=CC=C2C=C([SH](=O)(O)NC(=O)CNC(=O)CCC(F)(F)F)C=CC=C2N1,,19.sdf,0,1.3496650457382202,2.5626678,10.421016,18.570982
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,N#Cc1ccc(CNC(=O)CCC(O)=NNC(=O)c2ccc(CN)cc2)cc1,,20.sdf,0,1.4047507047653198,2.752536,11.425683,19.032648
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C4OC43)c2[nH]1,,21.sdf,0,1.2697420120239258,2.4728582,11.216497,17.923384
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,N=C(N)NCCCCNC(=O)CNC(=O)c1cc(-c2ccccc2)n[nH]1,,22.sdf,0,1.334574580192566,2.6488569,10.952447,18.87258
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,CC(=O)NC(C)=O.Cc1ccc2c(C3OC3P(=O)(O)OP(=O)(O)O)c(C)[nH]c2n1,incomp,23-incomp.sdf,0,1.264350175857544,2.5242412,9.495657,18.15718
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,O=c1cc(C2OC(OP(=O)(O)OP(=O)(O)O)C(O)C2O)cnc(=O)[nH]1,,24.sdf,0,1.248641848564148,2.5011332,9.967899,17.985668
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,,bad,25-bad.sdf,0,1.3923919200897217,2.6387823,8.942058,18.258842
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,N=C(N)NCCCC(=O)NC(=O)CCC(=O)Nc1ccc2ccccc2c1,,26.sdf,0,1.4175949096679688,2.7354171,11.277659,18.894066
pocketxmol_ehmt2_sma_atlas_ext,use,sbdd,,CCc1cccnc1Oc1cccc(Oc2cn(CC(=O)Nc3ccccc3)nn2)c1,,27.sdf,0,1.4655137062072754,2.828185,10.509699,18.948582
