canonical_smiles,MW,logP,TPSA,HBD,HBA,QED,BBB_heuristic,Lipinski_pass,PAINS_count,has_charged_center,has_reactive_group,murcko_scaffold,campaigns_hit,targets_hit,n_campaigns,tier_A_hits,tier_B_hits,tier_C_hits,PAINS_penalty,composite,polypharm_bonus,anti_target_penalty,final_score,cluster_id
C[C@@H]1NC(=O)C2=C1CCCc1nn(C[C@@H](C)c3ccccc3)cc12,321.42400000000004,3.2950000000000017,46.92,1,2,0.9427127902031688,1.0,1,0,0,0,O=C1NCC2=C1c1cn(CCc3ccccc3)nc1CCC2,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0,0.0,0.9828138370609504,0.0,0.0,0.9828138370609504,59
CCN1CCC(C(=O)Nc2cc3c(C)nc(C)cn3n2)CC1,301.39400000000006,2.01654,62.53,1,4,0.941843963811439,1.0,1,0,0,0,O=C(Nc1cc2cnccn2n1)C1CCNCC1,['smn2_splice_genmol_hop'],['SMN2'],1,1.0,0.0,0.0,0.0,0.9825531891434316,0.0,0.0,0.9825531891434316,478
C1=CNC2=NC=NC=C(CN3CCCC[C@@H]3c3ccccc3)C2=C1,318.424,3.5812000000000026,39.99,1,4,0.925100961627475,1.0,1,0,0,0,C1=CNC2=NC=NC=C(CN3CCCCC3c3ccccc3)C2=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0,0.0,0.9775302884882424,0.0,0.0,0.9775302884882424,31
CC(C)c1ccc(NS(=O)(=O)C2CCOCC2)cc1,283.3929999999999,2.730700000000001,55.400000000000006,1,3,0.9240728560403588,1.0,1,0,0,0,O=S(=O)(Nc1ccccc1)C1CCOCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9772218568121076,0.0,0.0,0.9772218568121076,0
C/C=C\c1ccc(NS(=O)(=O)C2CCOCC2)cc1,281.3769999999999,2.6404000000000014,55.400000000000006,1,3,0.922740515326854,1.0,1,0,0,0,O=S(=O)(Nc1ccccc1)C1CCOCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9768221545980562,0.0,0.0,0.9768221545980562,0
O=S(=O)(Nc1ccccc1Cl)C1CCOCC1,275.75700000000006,2.2607,55.400000000000006,1,3,0.9205670584111232,1.0,1,0,0,0,O=S(=O)(Nc1ccccc1)C1CCOCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9761701175233368,0.0,0.0,0.9761701175233368,3
CC1(C)CC(Oc2ccc(-c3ccccc3O)nn2)CC(C)(C)N1,327.4280000000001,3.537200000000001,67.27,2,5,0.9024018165874924,1.0,1,0,0,0,c1ccc(-c2ccc(OC3CCNCC3)nn2)cc1,['smn2_splice_genmol_hop'],['SMN2'],1,1.0,0.0,0.0,0.0,0.9707205449762476,0.0,0.0,0.9707205449762476,10
CC(C)(C)CNC(=O)[C@@H]1CN(c2ccccc2)C(=O)C[C@H]1N1CCCC1,357.4980000000002,2.666200000000001,52.650000000000006,1,3,0.901308098178356,1.0,1,0,0,0,O=C1CC(N2CCCC2)CCN1c1ccccc1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0,0.0,0.9703924294535068,0.0,0.0,0.9703924294535068,731
O=S(=O)(Nc1ccccc1F)C1CCOCC1,259.302,1.7464,55.400000000000006,1,3,0.899310564792364,1.0,1,0,0,0,O=S(=O)(Nc1ccccc1)C1CCOCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9697931694377092,0.0,0.0,0.9697931694377092,3
CC(O)c1ccc(S(=O)(=O)N2CCCC2)cc1,255.33899999999997,1.5244000000000002,57.61,1,3,0.8906680318569387,1.0,1,0,0,0,O=S(=O)(c1ccccc1)N1CCCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9672004095570814,0.0,0.0,0.9672004095570814,479
